,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
92,F.6.13,"Les quatre interaccions fonamentals de la naturalesa: gravitatòria, electromagnètica, nuclear forta i nuclear feble",Bloc 6. Física del segle XX,Física,,
93,F.6.14,Partícules fonamentals constitutives de l’àtom: electrons i quarks,Bloc 6. Física del segle XX,Física,,
94,F.6.15,Història i composició de l’Univers,Bloc 6. Física del segle XX,Física,,
95,F.6.16,Fronteres de la física,Bloc 6. Física del segle XX,Física,,
96,MI.1.1,Planificació del procés de resolució de problemes,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
97,MI.1.2,"Estratègies i procediments posats en pràctica: relació amb altres problemes coneguts, modificació de variables, suposar el problema resolt","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
98,MI.1.3,"Solucions i/o resultats obtinguts: coherència de les solucions amb la situació, revisió sistemàtica del procés, altres formes de resolució, problemes semblants, generalitzacions i particularitzacions interessants","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
99,MI.1.4,"Iniciació a la demostració en matemàtiques: mètodes, raonaments, llenguatges","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
100,MI.1.5,"Mètodes de demostració: reducció a l’absurd, mètode d’inducció, contraexemples, raonaments encadenats","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
101,MI.1.6,Raonament deductiu i inductiu,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
102,MI.1.7,"Llenguatge gràfic, algebraic, altres formes de representació d’arguments","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
103,MI.1.8,Elaboració i presentació oral i/o escrita d’informes científics sobre el procés seguit en la resolució d’un problema o en la demostració d’un resultat matemàtic,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
104,MI.1.9,Realització d’investigacions matemàtiques a partir de contextos de la realitat o contextos del món de les matemàtiques,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
105,MI.1.10,"Elaboració i presentació d’un informe científic sobre el procés, resultats i conclusions del procés d’investigació desenvolupat","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
106,MI.1.11,"Pràctica dels processos de matematització i modelització, en contextos de la realitat i en contextos matemàtics","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
107,MI.1.12,Confiança en les pròpies capacitats per desenvolupar actituds adequades i afrontar les dificultats pròpies del treball científic,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
108,MI.1.13,"Utilització de mitjans tecnològics en el procés d’aprenentatge per: a) Recollir dades de forma ordenada i organitzar-les. b) Elaborar i crear representacions gràfiques de dades numèriques, funcionals o estadístiques. c) Facilitar la comprensió de propietats geomètriques o funcionals i la realització de càlculs de tipus numèric, algebraic o estadístic. d) Dissenyar simulacions i elaborar prediccions sobre situacions matemàtiques diverses. e) Elaborar informes i documents sobre els processos duits a terme i els resultats i conclusions obtinguts. f) Comunicar i compartir, en entorns apropiats, la informació i les idees matemàtiques","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
109,MI.2.1,Nombres reals: necessitat del seu estudi per a la comprensió de la realitat. Valor absolut. Desigualtats. Distàncies en la recta real. Intervals i entorns. Aproximació i errors. Notació científica,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
110,MI.2.2,Nombres complexos. Forma binomial i polar. Representacions gràfiques,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
111,MI.2.3,Operacions elementals. Fórmula de Moivre,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
112,MI.2.4,"Successions numèriques: terme general, monotonia i acotació. El nombre e",Bloc 2. Nombres i àlgebra,Matemàtiques I,,
113,MI.2.5,Logaritmes decimals i neperians. Equacions logarítmiques i exponencials,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
114,MI.2.6,Plantejament i resolució de problemes de la vida quotidiana mitjançant equacions i inequacions. Interpretació gràfica,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
115,MI.2.7,Resolució d’equacions no algebraiques senzilles,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
116,MI.2.8,Mètode de Gauss per a la resolució i interpretació de sistemes d’equacions lineals,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
117,MI.3.1,Funcions reals de variable real,Bloc 3. Anàlisi,Matemàtiques I,,
118,MI.3.2,"Funcions bàsiques: polinòmiques, racionals senzilles, valor absolut, arrel, trigonomètriques i les seves inverses, exponencials, logarítmiques i funcions definides a trossos",Bloc 3. Anàlisi,Matemàtiques I,,
119,MI.3.3,Operacions i composició de funcions. Funció inversa. Funcions d’oferta i demanda,Bloc 3. Anàlisi,Matemàtiques I,,
120,MI.3.4,Concepte de límit d’una funció en un punt i en l’infinit. Càlcul de límits. Límits laterals. Indeterminacions,Bloc 3. Anàlisi,Matemàtiques I,,
121,MI.3.5,Continuïtat d’una funció. Estudi de discontinuïtats,Bloc 3. Anàlisi,Matemàtiques I,,
122,MI.3.6,Derivada d’una funció en un punt. Interpretació geomètrica de la derivada de la funció en un punt. Recta tangent i normal,Bloc 3. Anàlisi,Matemàtiques I,,
123,MI.3.7,Funció derivada. Càlcul de funcions derivades. Regla de la cadena,Bloc 3. Anàlisi,Matemàtiques I,,
124,MI.3.8,Representació gràfica de funcions,Bloc 3. Anàlisi,Matemàtiques I,,
125,MI.4.1,Mesura d’un angle en radiants,Bloc 4. Geometria,Matemàtiques I,,
126,MI.4.2,"Raons trigonomètriques d’un angle qualsevol. Raons trigonomètriques dels angles suma i diferència d’altres dos, doble i meitat. Fórmules de transformacions trigonomètriques",Bloc 4. Geometria,Matemàtiques I,,
127,MI.4.3,Teoremes. Resolució d’equacions trigonomètriques senzilles,Bloc 4. Geometria,Matemàtiques I,,
128,MI.4.4,Resolució de triangles. Resolució de problemes geomètrics diversos,Bloc 4. Geometria,Matemàtiques I,,
